size,forks_count,stars_count,open_issues_count,subscribers_count,watchers_count,age_days,days_since_update,releases_count,pull_requests_count,contributors_count,deployments_count,repo_url,grade_active,grade_code,grade_compl,grade_Eth,grade_fund,grade_market,grade_perspect,languages_score
26733,3014,22698,198,397,22698,5084,0,30,30,30,30,https://github.com/mochajs/mocha,65,77,45,15,1,1,75,54
3576,281,2109,108,41,2109,3426,15,6,30,30,0,https://github.com/chzyer/readline,30,68,40,45,1,1,65,50
1118,4217,33061,34,1025,33061,4235,0,23,30,30,0,https://github.com/gulpjs/gulp,75,75,40,30,1,1,70,81
67146,8933,64999,242,1456,64999,4716,0,30,30,30,0,https://github.com/webpack/webpack,77,75,65,60,1,1,85,50
9473,1967,22535,40,249,22535,3356,0,30,30,30,30,https://github.com/redux-saga/redux-saga,70,75,35,30,15,70,75,53
122509,5663,43393,790,804,43393,3783,0,30,30,30,30,https://github.com/babel/babel,77,75,75,30,50,1,85,73
417,944,11206,80,139,11206,4818,4,30,30,30,0,https://github.com/debug-js/debug,30,80,15,30,1,1,65,80
32152,33722,208312,602,5853,208312,4210,0,30,30,30,0,https://github.com/vuejs/vue,77,75,70,20,1,77,75,80
380,449,5178,90,53,5178,5354,0,0,30,30,0,https://github.com/marak/colors.js,10,1,5,20,1,1,10,75
125743,3007,30987,271,449,30987,3616,0,2,30,30,12,https://github.com/reactivex/rxjs,75,75,60,50,1,1,70,66
842,49,1060,2,10,1060,2478,1,0,27,11,0,https://github.com/webreflection/flatted,10,15,5,25,1,1,45,50
5894,267,4085,0,91,4085,4559,24,23,30,30,0,https://github.com/level/levelup,10,65,1,45,1,1,60,54
31658,1551,25565,581,255,25565,3555,0,30,30,30,30,https://github.com/rollup/rollup,75,76,65,25,77,45,75,75
543,15,64,9,4,64,2055,10,0,8,30,11,https://github.com/go-task/slim-sprig,10,55,15,50,1,1,35,75
4784,742,6760,24,83,6760,4472,0,2,30,29,19,https://github.com/mikemcl/bignumber.js,30,75,20,65,1,45,70,53
162499,15789,115362,969,2826,115362,4318,0,30,30,30,30,https://github.com/electron/electron,70,75,70,25,1,7,85,50
6436,93,794,77,10,794,2621,8,0,30,30,30,https://github.com/xtuc/webassemblyjs,30,75,25,65,1,1,70,60
15924,426,10668,122,35,10668,2714,0,30,30,30,30,https://github.com/gregberge/svgr,10,75,35,30,1,1,75,76
24917,1117,17626,345,96,17626,2812,0,30,30,30,30,https://github.com/emotion-js/emotion,30,75,15,60,1,1,70,34
130,24,275,0,7,275,3777,3,11,22,5,0,https://github.com/wooorm/markdown-table,10,75,10,25,1,1,30,49
132460,800,3056,455,69,3056,2407,0,30,30,30,30,https://github.com/sigp/lighthouse,10,75,65,85,1,35,80,50
157522,1926,8094,570,103,8094,3127,0,30,30,1,30,https://github.com/ethers-io/ethers.js,75,75,60,85,75,75,75,59
166982,1063,3511,303,128,3511,2582,0,30,30,30,0,https://github.com/prysmaticlabs/prysm,75,75,70,85,1,45,75,51
805,11,14,7,5,14,3111,597,0,30,13,0,https://github.com/pnpm/cmd-shim,10,65,15,10,1,1,35,50
26760,615,1541,6,171,1541,2108,0,30,30,30,30,https://github.com/coinbase/coinbase-wallet-sdk,30,65,45,70,1,10,75,72
1957,574,14816,162,52,14816,2157,0,30,30,30,0,https://github.com/sindresorhus/type-fest,45,70,30,20,1,1,70,50
365630,1255,31607,427,152,31607,2603,0,30,30,30,24,https://github.com/swc-project/swc,10,78,45,60,1,1,70,75
3,12,298,0,5,298,4031,69,0,4,1,0,https://github.com/bradfitz/iter,10,70,15,40,1,1,60,71
43662,4638,25523,96,316,25523,4239,0,30,30,30,0,https://github.com/eslint/eslint,77,75,70,45,1,1,85,49
94401,733,1495,65,73,1495,2355,0,30,30,30,30,https://github.com/walletconnect/walletconnect-monorepo,30,65,70,85,1,10,75,54
193759,1479,7481,534,76,7481,2489,0,30,30,30,30,https://github.com/nomicfoundation/hardhat,55,75,75,85,25,25,75,74
145254,4457,49899,1441,419,49899,2990,0,30,30,30,30,https://github.com/prettier/prettier,80,85,65,40,1,1,80,69
165,96,756,15,12,756,4990,0,3,30,26,0,https://github.com/qix-/color-convert,10,45,5,30,1,1,30,54
34,59,911,17,7,911,4193,0,0,20,7,0,https://github.com/mafintosh/pump,10,15,20,20,1,1,30,54
541,206,893,27,23,893,4351,13,11,30,17,0,https://github.com/dcodeio/long.js,10,45,1,30,1,1,30,50
22367,37,345,2,10,345,3887,26,0,6,6,13,https://github.com/sheetjs/js-crc32,10,55,5,25,1,1,20,51
62815,1658,24783,41,256,24783,4221,0,30,30,30,30,https://github.com/zloirock/core-js,30,75,30,30,1,1,70,55
83,12,113,1,5,113,2580,45,0,9,3,0,https://github.com/jedisct1/go-minisign,10,75,15,50,1,1,65,51
54,22,8,6,2,8,2003,28,0,7,1,0,https://github.com/heim-rs/darwin-libproc,10,65,25,30,1,1,35,51
33702,319,4828,97,50,4828,3585,1,30,30,30,30,https://github.com/cssnano/cssnano,30,75,30,15,1,1,60,54
715683,47498,232033,962,6636,232033,4275,0,30,30,30,30,https://github.com/facebook/react,85,85,85,25,100,85,85,75
68455,2768,15485,380,91,15485,2215,0,30,30,30,0,https://github.com/typescript-eslint/typescript-eslint,70,75,65,30,1,5,75,53
5838,852,28030,53,155,28030,2595,0,30,30,30,30,https://github.com/immerjs/immer,75,85,45,20,1,10,75,80
768,173,5443,27,69,5443,2603,7,21,30,13,0,https://github.com/lukeed/polka,10,75,25,65,1,20,65,50
2245,240,985,20,50,985,4858,7,9,30,30,1,https://github.com/salesforce/tough-cookie,20,45,30,10,1,1,30,50
35381,2737,12382,916,195,12382,3523,0,30,30,30,23,https://github.com/pytest-dev/pytest,75,77,35,75,50,1,75,79
12410,824,4972,498,158,4972,3009,1,30,30,30,15,https://github.com/vyperlang/vyper,10,65,45,70,1,35,70,50
5361,1684,14230,92,260,14230,2455,0,30,30,30,0,https://github.com/pion/webrtc,75,75,70,45,1,1,75,45
37489,887,14030,285,112,14030,3550,0,30,30,30,30,https://github.com/ajv-validator/ajv,10,70,55,75,1,1,75,50
2391,867,19448,6,109,19448,4233,0,0,30,30,0,https://github.com/motdotla/dotenv,10,75,15,10,1,1,65,54
10792,1570,28628,24,505,28628,4152,0,30,30,30,20,https://github.com/postcss/postcss,70,65,25,25,1,1,70,48
5446,298,1207,171,15,1207,1784,0,0,30,30,0,https://github.com/wighawag/hardhat-deploy,30,72,25,70,1,1,65,75
7514,362,3589,64,70,3589,4962,0,0,30,30,0,https://github.com/mozilla/source-map,10,1,50,35,1,1,70,48
39906,1628,30606,40,257,30606,3235,0,30,30,30,30,https://github.com/floating-ui/floating-ui,30,75,45,60,1,1,70,50
4371,720,13140,42,140,13140,3707,0,9,30,30,4,https://github.com/browserslist/browserslist,65,75,25,65,1,1,70,75
542992,306,692,149,33,692,2344,0,30,30,30,30,https://github.com/consensys/teku,10,65,70,85,1,1,70,50
63,108,849,14,12,849,3964,9,0,30,26,0,https://github.com/mattn/go-isatty,10,70,5,5,1,1,30,50
1268,1037,8824,211,89,8824,3664,0,30,30,30,0,https://github.com/node-fetch/node-fetch,20,65,30,25,1,3,70,50
19961,1074,14689,344,68,14689,3633,0,30,30,30,30,https://github.com/clap-rs/clap,10,75,35,60,1,1,75,50
4658,75,731,12,12,731,2458,2,30,30,21,0,https://github.com/prettier-solidity/prettier-plugin-solidity,30,70,10,70,1,1,70,72
119826,2732,41482,2070,555,41482,3305,0,30,30,30,5,https://github.com/yarnpkg/yarn,60,72,65,50,75,75,70,49
102,106,1934,34,14,1934,2792,1,14,30,12,0,https://github.com/epoberezkin/fast-deep-equal,10,65,20,30,1,1,50,73
4676,64,331,4,5,331,4772,1,18,30,21,30,https://github.com/fb55/entities,10,30,10,65,1,1,35,50
12008,736,8642,73,67,8642,3848,1,0,30,30,0,https://github.com/ljharb/qs,10,60,15,30,1,1,65,49
251423,1082,2574,826,68,2574,1784,0,30,30,30,30,https://github.com/ethereum/remix-project,10,65,45,75,1,25,75,53
78615,5960,23829,551,733,23829,3460,0,30,30,30,0,https://github.com/ethereum/solidity,85,85,75,85,75,75,75,53
216618,20515,48264,283,2208,48264,4059,0,30,30,30,30,https://github.com/ethereum/go-ethereum,100,85,77,95,100,100,90,49
1260,115,2449,30,15,2449,3747,0,0,30,30,0,https://github.com/rich-harris/magic-string,10,77,20,40,1,1,30,48
17726,11006,106257,671,1186,106257,3824,0,30,30,30,0,https://github.com/axios/axios,77,75,30,65,1,50,85,56
354253,2534,9165,211,215,9165,4908,0,30,30,30,1,https://github.com/webdriverio/webdriverio,70,75,75,25,10,1,70,69
14215,2549,27833,329,314,27833,3071,0,30,30,30,30,https://github.com/tokio-rs/tokio,75,75,65,75,65,70,75,72
20,30,119,0,3,119,3727,17,2,15,7,0,https://github.com/colorjs/color-name,10,20,10,30,1,1,30,66
153669,10412,28733,2180,598,28733,5259,0,30,30,30,30,https://github.com/numpy/numpy,77,77,75,15,85,1,75,80
23,1,6,3,1,6,1203,155,3,11,2,0,https://github.com/vweevers/module-error,10,30,10,25,1,1,30,75
13046,10,168,12,4,168,1337,15,15,30,5,0,https://github.com/brooooooklyn/snappy,10,20,12,30,1,1,30,53
3446,1246,30973,155,213,30973,1927,0,30,30,30,29,https://github.com/vercel/swr,77,77,25,30,1,5,75,53
115,36,305,23,8,305,2687,27,9,11,5,0,https://github.com/mysticatea/abort-controller,10,65,10,15,1,1,40,77
4281,1576,5630,577,37,5630,3616,0,30,30,30,0,https://github.com/import-js/eslint-plugin-import,10,75,25,70,1,1,65,44
146329,1622,8087,433,126,8087,4753,0,30,30,30,30,https://github.com/getsentry/sentry-javascript,30,85,45,30,1,1,70,53
111,7,32,1,2,32,2194,240,6,19,3,0,https://github.com/humanwhocodes/object-schema,10,65,20,25,1,1,65,72
366908,966,2727,9,29,2727,930,0,30,30,30,30,https://github.com/wevm/viem,10,70,15,65,1,1,70,70
264026,103,1313,104,14,1313,2943,0,30,30,30,30,https://github.com/streetsidesoftware/cspell,10,75,20,10,1,1,30,51
35704,616,1748,69,29,1748,1226,0,30,30,30,30,https://github.com/bluealloy/revm,10,35,1,60,1,1,30,75
399293,323,1237,259,33,1237,2420,0,30,30,30,30,https://github.com/chainsafe/lodestar,30,75,60,70,1,1,70,53
366166,18197,44494,3690,1111,44494,5280,0,30,30,30,0,https://github.com/pandas-dev/pandas,75,85,70,60,70,1,70,50
54842,414,5402,126,47,5402,2373,0,25,30,30,30,https://github.com/boa-dev/boa,10,65,45,55,1,1,70,50
10985,237,3721,29,43,3721,4342,0,30,30,30,30,https://github.com/inikulin/parse5,30,75,25,30,1,1,45,49
47771,11924,25299,277,640,25299,3110,0,30,30,30,30,https://github.com/openzeppelin/openzeppelin-contracts,70,85,75,85,45,75,75,65
3777,776,6354,66,75,6354,4875,0,0,30,30,12,https://github.com/nodeca/js-yaml,40,70,30,30,1,5,70,53
62445,1364,14378,24,131,14378,3940,0,30,30,30,27,https://github.com/formatjs/formatjs,30,75,40,10,1,1,70,79
309,182,2833,39,36,2833,3795,14,23,30,25,0,https://github.com/yahoo/serialize-javascript,10,45,15,45,1,1,30,62
321,27,140,1,5,140,2325,1,7,30,3,0,https://github.com/tklauser/go-sysconf,10,65,15,25,1,1,30,80
386,46,458,4,10,458,4176,6,14,30,18,0,https://github.com/kaelzhang/node-ignore,10,70,10,20,1,1,30,55
441,14,188,30,7,188,1833,38,4,30,2,0,https://github.com/mmcloughlin/addchain,10,45,15,35,1,1,60,43
20072,3292,23728,144,643,23728,3915,0,30,30,30,30,https://github.com/google/flatbuffers,10,80,55,65,1,45,75,54
40147,1260,13710,356,52,13710,1160,0,30,30,30,30,https://github.com/vitest-dev/vitest,50,75,30,65,10,1,70,75
360,14,33,10,3,33,1211,58,0,30,3,15,https://github.com/crate-crypto/go-ipa,10,35,5,60,1,1,40,78
3297,172,1055,26,21,1055,2670,11,30,30,30,30,https://github.com/protofire/solhint,10,65,5,72,1,1,65,75
8510,973,1924,15,48,1924,2714,0,16,30,30,0,https://github.com/safe-global/safe-smart-account,10,75,30,75,1,1,75,80
2052,180,486,35,18,486,1689,7,15,30,22,0,https://github.com/supranational/blst,10,70,35,75,1,1,75,52
3264,681,1601,5,40,1601,1108,1,4,30,24,0,https://github.com/eth-infinitism/account-abstraction,10,65,35,60,1,1,75,55
63267,261,561,204,36,561,2392,3,30,30,30,30,https://github.com/status-im/nimbus-eth2,10,45,70,70,1,1,75,52
211503,524,16829,229,52,16829,559,0,30,30,30,30,https://github.com/biomejs/biome,10,66,30,40,1,1,65,53
8811,2345,32941,88,300,32941,3052,0,30,30,30,0,https://github.com/fastify/fastify,75,75,70,60,1,1,85,50
670,147,1396,34,27,1396,3594,1,30,30,30,0,https://github.com/servo/rust-smallvec,10,70,30,20,1,1,30,70
59206,1107,6214,274,180,6214,3416,0,30,30,30,0,https://github.com/libp2p/go-libp2p,10,75,40,60,1,30,75,54
89125,1384,4295,286,59,4295,874,0,30,30,30,30,https://github.com/paradigmxyz/reth,10,65,65,60,1,1,65,53
3545,170,821,34,22,821,691,1,30,30,30,0,https://github.com/alloy-rs/core,10,75,35,65,1,1,70,52
137747,5027,19570,152,461,19570,3781,0,30,30,30,30,https://github.com/web3/web3.js,75,66,75,85,30,75,75,49
55948,1251,7439,0,224,7439,3905,3,30,30,30,30,https://github.com/ipfs/js-ipfs,10,65,70,75,1,20,75,50
31154,1757,5139,104,123,5139,3219,0,0,30,30,0,https://github.com/ethereum/web3.py,85,75,70,85,1,67,75,54
410799,1187,3261,381,65,3261,2082,0,30,30,30,30,https://github.com/erigontech/erigon,10,72,65,65,1,1,75,68
5584,34,186,36,6,186,1318,0,6,30,9,0,https://github.com/grandinetech/grandine,10,1,1,65,1,1,10,50
17101,1345,10375,193,218,10375,3227,0,30,30,30,0,https://github.com/quic-go/quic-go,10,75,35,40,1,1,75,50
92669,782,2631,146,63,2631,3498,2,30,30,30,30,https://github.com/ethereumjs/ethereumjs-monorepo,30,75,75,85,1,65,75,50
81,45,1459,11,11,1459,1228,0,7,30,12,0,https://github.com/alexeyraspopov/picocolors,10,30,10,50,1,1,25,49
734,481,1471,73,45,1471,3229,1,0,30,30,0,https://github.com/ethereum/solc-js,30,75,60,85,1,25,70,50
